ID,RSSI,station,distance
Haylou GT1 XR,-59,1,3.5
Haylou GT1 XR,-53,1,3.5
Haylou GT1 XR,-59,1,3.5
Haylou GT1 XR,-58,1,3.5
Haylou GT1 XR,-53,1,3.5
Haylou GT1 XR,-59,1,3.5
Haylou GT1 XR,-51,1,3.5
Haylou GT1 XR,-51,1,3.5
Haylou GT1 XR,-61,1,3.5
Haylou GT1 XR,-61,1,3.5
Haylou GT1 XR,-61,1,3.5
Haylou GT1 XR,-57,1,3.5
Haylou GT1 XR,-62,1,3.5
Haylou GT1 XR,-51,1,3.5
Haylou GT1 XR,-57,1,3.5
Haylou GT1 XR,-50,1,3.5
Haylou GT1 XR,-59,1,3.5
Haylou GT1 XR,-60,1,3.5
Haylou GT1 XR,-56,1,3.5
Haylou GT1 XR,-58,1,3.5
Haylou GT1 XR,-50,1,3.5
Haylou GT1 XR,-57,1,3.5
Haylou GT1 XR,-50,1,3.5
Haylou GT1 XR,-60,1,3.5
Haylou GT1 XR,-61,1,3.5
Haylou GT1 XR,-54,1,3.5
Haylou GT1 XR,-61,1,3.5
Haylou GT1 XR,-59,1,3.5
Haylou GT1 XR,-57,1,4
Haylou GT1 XR,-53,1,4
Haylou GT1 XR,-56,1,4
Haylou GT1 XR,-56,1,4
Haylou GT1 XR,-56,1,4
Haylou GT1 XR,-54,1,4
Haylou GT1 XR,-57,1,4
Haylou GT1 XR,-60,1,4
Haylou GT1 XR,-57,1,4
Haylou GT1 XR,-56,1,4
Haylou GT1 XR,-53,1,4
Haylou GT1 XR,-61,1,4
Haylou GT1 XR,-53,1,4
Haylou GT1 XR,-61,1,4
Haylou GT1 XR,-55,1,4
Haylou GT1 XR,-57,1,4
Haylou GT1 XR,-58,1,4
Haylou GT1 XR,-59,1,4
Haylou GT1 XR,-56,1,4
Haylou GT1 XR,-56,1,4
Haylou GT1 XR,-57,1,4
Haylou GT1 XR,-56,1,4
Haylou GT1 XR,-55,1,4
Haylou GT1 XR,-60,1,4
Haylou GT1 XR,-60,1,4
Haylou GT1 XR,-61,1,4
Haylou GT1 XR,-54,1,4
Haylou GT1 XR,-56,1,4
Haylou GT1 XR,-61,1,4
Haylou GT1 XR,-61,1,4
Haylou GT1 XR,-59,1,4
Haylou GT1 XR,-58,1,4
Haylou GT1 XR,-56,1,4
Haylou GT1 XR,-56,1,4
Haylou GT1 XR,-61,1,4
Haylou GT1 XR,-55,1,4
Haylou GT1 XR,-56,1,4
Haylou GT1 XR,-59,1,4
Haylou GT1 XR,-56,1,4
Haylou GT1 XR,-59,1,4
Haylou GT1 XR,-59,1,4
Haylou GT1 XR,-55,1,4
Haylou GT1 XR,-59,1,4
Haylou GT1 XR,-55,1,4
Haylou GT1 XR,-56,1,4
Haylou GT1 XR,-57,1,4
Haylou GT1 XR,-55,1,4
Haylou GT1 XR,-54,1,4
Haylou GT1 XR,-56,1,4
Haylou GT1 XR,-61,1,4
Haylou GT1 XR,-57,1,4
Haylou GT1 XR,-63,1,4.5
Haylou GT1 XR,-55,1,4.5
Haylou GT1 XR,-61,1,4.5
Haylou GT1 XR,-61,1,4.5
Haylou GT1 XR,-62,1,4.5
Haylou GT1 XR,-51,1,4.5
Haylou GT1 XR,-51,1,4.5
Haylou GT1 XR,-61,1,4.5
Haylou GT1 XR,-54,1,4.5
Haylou GT1 XR,-52,1,4.5
Haylou GT1 XR,-51,1,4.5
Haylou GT1 XR,-51,1,4.5
Haylou GT1 XR,-61,1,4.5
Haylou GT1 XR,-62,1,4.5
Haylou GT1 XR,-59,1,4.5
Haylou GT1 XR,-54,1,4.5
Haylou GT1 XR,-54,1,4.5
Haylou GT1 XR,-54,1,4.5
Haylou GT1 XR,-55,1,4.5
Haylou GT1 XR,-62,1,4.5
Haylou GT1 XR,-51,1,4.5
Haylou GT1 XR,-55,1,4.5
Haylou GT1 XR,-55,1,4.5
Haylou GT1 XR,-53,1,4.5
Haylou GT1 XR,-61,1,4.5
Haylou GT1 XR,-61,1,4.5
Haylou GT1 XR,-61,1,4.5
